Ticket name,College,City
Internet of Things,"Rvr&jc college of engineering,guntur",Guntur
Internet of Things,rvr jc college of engineering guntur,Guntur
Cyber Forensics,"RVR & JC COLLEGE, GUNTUR",Guntur
Cyber Forensics,"RVR & JC COLLEGE, GUNTUR",Guntur
Cyber Forensics,"RVR & JC COLLEGE, GUNTUR",Guntur
Internet of Things,rvr jc college of engineering guntur,Guntur
Internet of Things,rvr jc college of engineering guntur,Guntur
Internet of Things,rvr jc college of engineering guntur,Guntur
Automobile and IC Engine Design,RVRJCCE/GUNTUR,Guntur
Internet of Things,Guntur,Guntur
Cyber Forensics,RVR&JC COLLEGE OF ENGINEERING,Guntur
Touch and Augmented Reality,RVR & JC COLLEGE OF ENGINEERING,Guntur
Touch and Augmented Reality,RVR & JC COLLEGE OF ENGINEERING,Guntur
Internet of Things,RVRJCCE/GUNTUR,Guntur
Cyber Forensics,RVRJCCE/GUNTUR,Guntur
Internet of Things,"RVR&JC COLLEGE OF ENGINEERING,GUNTUR,A.P",Guntur
Automobile and IC Engine Design,RVRJCCE/GUNTUR,Guntur
Internet of Things,"RVR&JC COLLEGE OF ENGINEERING,GUNTUR,A.P",Guntur
Big Data,RVR&JCCE/Guntur,Guntur
Internet of Things,RVR&JC COLLEGE OF ENGINEERING/Guntur,Guntur
Internet of Things,RVRJCCE/GUNTUR,Guntur
Internet of Things,RVRJCCE/GUNTUR,Guntur
Big Data,R.V.R&J.C.COLLEGE OF ENGINEERING,Guntur
Big Data,R.V.R&J.C.COLLEGE OF ENGINEERING,Guntur
Internet of Things,RVR&JCCE/GUNTUR,Guntur
Big Data,"RVR & JC College of Engineering , Guntur ,Andhra Pradesh",Guntur
Big Data,"St Joseph's College, Bangalore",Bangalore
Internet of Things,RVR and JCCE,Guntur
Big Data,RVR & JC COLLEGE OF ENGINEERING,Guntur
Cyber Forensics,RVR & JC COLLEGE OF ENGINEERING,Guntur
Automobile and IC Engine Design,RVR & JC COLLEGE OF ENGINEERING,Guntur
Internet of Things,RVR & JC COLLEGE OF ENGINEERING,Guntur
Internet of Things,RVR&JCCE/GUNTUR,Guntur
Internet of Things,guntur,Guntur
Internet of Things,RVR&JCCE/GUNTUR,Guntur
Internet of Things,RVR&JCCE/GUNTUR,Guntur
Internet of Things,RVR&JCCE/GUNTUR,Guntur
Internet of Things,Rvr&JC college of engineering/guntur,Guntur
Internet of Things,RVR and JCCE,Guntur
Internet of Things,Rvr&Jc college of engineering,Guntur
